OMRÅDE;CIVILSTAND;TID;INDHOLD
Hele landet;I alt;2008K1;5475791
Hele landet;I alt;2008K2;5482266
Hele landet;I alt;2008K3;5489022
Hele landet;I alt;2008K4;5505995
Hele landet;I alt;2009K1;5511451
Hele landet;I alt;2009K2;5515287
Hele landet;I alt;2009K3;5519441
Hele landet;I alt;2009K4;5532531
Hele landet;I alt;2010K1;5534738
Hele landet;I alt;2010K2;5540241
Hele landet;I alt;2010K3;5543819
Hele landet;I alt;2010K4;5557709
Hele landet;I alt;2011K1;5560628
Hele landet;I alt;2011K2;5564219
Hele landet;I alt;2011K3;5566856
Hele landet;I alt;2011K4;5579204
Hele landet;I alt;2012K1;5580516
Hele landet;I alt;2012K2;5584758
Hele landet;I alt;2012K3;5587085
Hele landet;I alt;2012K4;5599665
Hele landet;I alt;2013K1;5602628
Hele landet;I alt;2013K2;5605836
Hele landet;I alt;2013K3;5608784
Hele landet;I alt;2013K4;5623501
Hele landet;I alt;2014K1;5627235
Hele landet;I alt;2014K2;5634437
Hele landet;I alt;2014K3;5639719
Hele landet;I alt;2014K4;5655750
Hele landet;I alt;2015K1;5659715
Hele landet;I alt;2015K2;5668743
Hele landet;I alt;2015K3;5678348
Hele landet;I alt;2015K4;5699220
Hele landet;I alt;2016K1;5707251
Hele landet;I alt;2016K2;5717014
Hele landet;I alt;2016K3;5724456
Hele landet;I alt;2016K4;5745526
Hele landet;I alt;2017K1;5748769
Hele landet;I alt;2017K2;5756170
Hele landet;I alt;2017K3;5760694
Hele landet;I alt;2017K4;5778570
Hele landet;I alt;2018K1;5781190
Hele landet;I alt;2018K2;5785864
Hele landet;I alt;2018K3;5789957
Hele landet;I alt;2018K4;5806015
Hele landet;I alt;2019K1;5806081
Hele landet;I alt;2019K2;5811413
Hele landet;I alt;2019K3;5814461
Hele landet;I alt;2019K4;5827463
Hele landet;I alt;2020K1;5822763
Hele landet;I alt;2020K2;5824857
Hele landet;I alt;2020K3;5825337
Hele landet;I alt;2020K4;5837213
